Equipo,Juegos,Año,Medalla_Oro
Bermuda,2010 Invierno,2010-01-01,0
Bermuda,2012 Verano,2012-01-01,0
Bermuda,2014 Invierno,2014-01-01,0
Bermuda,2016 Verano,2016-01-01,0
Bermuda,2020 Verano,2020-01-01,0
Bermudes,1960 Verano,1960-01-01,0
Bermudian,1960 Verano,1960-01-01,0
Bhutan,1984 Verano,1984-01-01,0
Bhutan,1988 Verano,1988-01-01,0
Bhutan,1992 Verano,1992-01-01,0
Bhutan,1996 Verano,1996-01-01,0
Bhutan,2000 Verano,2000-01-01,0
Bhutan,2004 Verano,2004-01-01,0
Bhutan,2008 Verano,2008-01-01,0
Bhutan,2012 Verano,2012-01-01,0
Bhutan,2016 Verano,2016-01-01,0
Bhutan,2020 Verano,2020-01-01,0
Bim,1960 Verano,1960-01-01,0
Bingo,1964 Verano,1964-01-01,0
Bissbi,1932 Verano,1932-01-01,4
Blue Red,1924 Verano,1924-01-01,0
Bluebottle,1956 Verano,1956-01-01,0
Boer Team,1904 Verano,1904-01-01,0
Bohemia,1900 Verano,1900-01-01,0
Bohemia,1906 Verano,1906-01-01,0
Bohemia,1908 Verano,1908-01-01,0
Bohemia,1912 Verano,1912-01-01,0
Bohemia-1,1912 Verano,1912-01-01,0
Bohemia-2,1912 Verano,1912-01-01,0
